DATE,Leisure and Hospitality,Accommodation and Food Services,Health Care and Social Assistance
3/1/22,1678,1460,2090
4/1/22,1511,1354,2034
5/1/22,1567,1406,1987
6/1/22,1490,1357,1991
7/1/22,1552,1355,2027
8/1/22,1405,1217,1917
9/1/22,1546,1345,2029
10/1/22,1612,1415,1991
11/1/22,1629,1465,1908
12/1/22,1859,1679,1899
1/1/23,1665,1475,1894
